date,home_team,score,away_team
15-06-2022,Flamengo RJ,2 - 0,Cuiaba
18-06-2022,Cuiaba,0 - 0,Ceará SC
26-06-2022,Goiás EC,1 - 0,Cuiaba
03-07-2022,Avai,1 - 2,Cuiaba
10-07-2022,Cuiaba,2 - 0,Botafogo FR
18-07-2022,SE Palmeiras,1 - 0,Cuiaba
21-07-2022,Cuiaba,1 - 1,Atletico Mineiro
25-07-2022,Coritiba FBC,1 - 0,Cuiaba
31-07-2022,Cuiaba,0 - 1,Fortaleza EC
07-08-2022,Fluminense FC,1 - 0,Cuiaba
13-08-2022,Cuiaba,1 - 0,Juventude
21-08-2022,AC Goianiense,1 - 1,Cuiaba
28-08-2022,Cuiaba,? - ?,Santos
09-04-2022,AC Goianiense,1 - 1,Flamengo RJ
17-04-2022,Flamengo RJ,3 - 1,Sao Paulo
20-04-2022,Flamengo RJ,0 - 0,SE Palmeiras
23-04-2022,CA Paranaense,1 - 0,Flamengo RJ
08-05-2022,Flamengo RJ,0 - 1,Botafogo FR
14-05-2022,Ceará SC,2 - 2,Flamengo RJ
21-05-2022,Flamengo RJ,1 - 0,Goiás EC
29-05-2022,Fluminense FC,1 - 2,Flamengo RJ
05-06-2022,Flamengo RJ,1 - 2,Fortaleza EC
08-06-2022,RB Bragantino,1 - 0,Flamengo RJ
12-06-2022,Internacional RS,3 - 1,Flamengo RJ
15-06-2022,Flamengo RJ,2 - 0,Cuiaba
19-06-2022,Atletico Mineiro,2 - 0,Flamengo RJ
25-06-2022,Flamengo RJ,3 - 0,America Mineiro
02-07-2022,Santos,1 - 2,Flamengo RJ
10-07-2022,Corinthians,1 - 0,Flamengo RJ
16-07-2022,Flamengo RJ,2 - 0,Coritiba FBC
20-07-2022,Flamengo RJ,4 - 0,Juventude
24-07-2022,Avai,1 - 2,Flamengo RJ
30-07-2022,Flamengo RJ,4 - 1,AC Goianiense
06-08-2022,Sao Paulo,0 - 2,Flamengo RJ
14-08-2022,Flamengo RJ,5 - 0,CA Paranaense
21-08-2022,SE Palmeiras,1 - 1,Flamengo RJ
28-08-2022,Botafogo FR,? - ?,Flamengo RJ
09-04-2022,Fluminense FC,0 - 0,Santos
17-04-2022,Cuiaba,0 - 1,Fluminense FC
23-04-2022,Fluminense FC,0 - 1,Internacional RS
01-05-2022,Coritiba FBC,3 - 2,Fluminense FC
08-05-2022,SE Palmeiras,1 - 1,Fluminense FC
15-05-2022,Fluminense FC,2 - 1,CA Paranaense
22-05-2022,Fortaleza EC,0 - 1,Fluminense FC
29-05-2022,Fluminense FC,1 - 2,Flamengo RJ
05-06-2022,Juventude,1 - 0,Fluminense FC
09-06-2022,Fluminense FC,5 - 3,Atletico Mineiro
11-06-2022,Fluminense FC,0 - 2,AC Goianiense
16-06-2022,America Mineiro,0 - 0,Fluminense FC
19-06-2022,Fluminense FC,2 - 0,Avai
26-06-2022,Botafogo FR,0 - 1,Fluminense FC
02-07-2022,Fluminense FC,4 - 0,Corinthians
09-07-2022,Fluminense FC,2 - 1,Ceará SC
17-07-2022,Sao Paulo,2 - 2,Fluminense FC
20-07-2022,Goiás EC,2 - 3,Fluminense FC
24-07-2022,Fluminense FC,2 - 1,RB Bragantino
01-08-2022,Santos,2 - 2,Fluminense FC
07-08-2022,Fluminense FC,1 - 0,Cuiaba
14-08-2022,Internacional RS,3 - 0,Fluminense FC
20-08-2022,Fluminense FC,5 - 2,Coritiba FBC
27-08-2022,Fluminense FC,? - ?,SE Palmeiras
10-04-2022,Fortaleza EC,0 - 1,Cuiaba
17-04-2022,Internacional RS,2 - 1,Fortaleza EC
01-05-2022,Corinthians,1 - 0,Fortaleza EC
